bank,date_dt,mean_stance,disagreement,disagreement_pred,bnd_uncertainty,sign_conflict_rate,n_turns,is_test,model_choice_spread
Fed,2017-12-13,-0.023809523809523808,0.0960058940743569,0.08171565958994742,0.485104344956438,0.0,28,0,0.0394836284566119
Fed,2018-03-21,0.006944444444444444,0.04658474953124562,0.061195991937589816,0.5473953061068828,0.0,24,0,0.01552824984374854
Fed,2018-06-13,-0.02083333333333333,0.129566575846359,0.0750053629816409,0.6031204204947521,0.041666666666666664,24,0,0.03989279615651409
Fed,2018-09-26,0.09615384615384616,0.15472921292780192,0.10673655953261235,0.6102549645005367,0.0,26,0,0.07929049280033963
Fed,2018-12-19,-0.14166666666666666,0.11673972510204282,0.075528552405171,0.6479916808599422,0.0,20,1,0.07861650943380503
Fed,2019-01-30,-0.13333333333333333,0.12324278808026322,0.08837752556440495,0.5339090650379918,0.03333333333333333,30,1,0.0693888666488711
Fed,2019-03-20,-0.1130952380952381,0.06381755566510929,0.07681394976215696,0.504273269073537,0.0,28,0,0.04798962945415803
Fed,2019-05-01,-0.14666666666666667,0.1099210920507294,0.07849608315668685,0.5264925618584706,0.04,25,0,0.0679869268479038
Fed,2019-06-19,-0.271604938271605,0.1325981664644736,0.08511745662323349,0.5310816038156767,0.037037037037037035,27,0,0.06983770678385653
Fed,2019-07-31,-0.3869047619047619,0.18531598121323634,0.06568393808265924,0.5743650973972265,0.07142857142857142,28,0,0.06327467745675386
Fed,2019-09-18,-0.3055555555555555,0.1789014017721282,0.06801471668549244,0.577476461823987,0.0,30,0,0.10437941237808854
Fed,2019-10-30,-0.15656565656565655,0.1028683869462757,0.08420481509596477,0.564266134377108,0.030303030303030304,33,1,0.05075694758141864
Fed,2019-12-11,-0.21264367816091956,0.1986878672871763,0.0821876162088047,0.5974157487884972,0.0,29,0,0.07816937073985887
Fed,2020-01-29,-0.04666666666666667,0.07738122278710484,0.07811679476467823,0.5899713289745508,0.04,25,0,0.04268749491621899
Fed,2020-03-03,-0.3333333333333333,0.074535599249993,0.053752104467583786,0.5894324469563849,0.0,10,0,0.04714045207910319
