STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop18,Classification of individual consumption by purpose (COICOP) - 2018,release,Release,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2020-11,,81.33,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2020-12,,81.59,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2021-01,,81.73,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2021-02,,81.90,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2021-03,,82.67,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2021-04,,83.14,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2021-05,,83.36,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2021-06,,83.57,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2021-07,,83.51,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2021-08,,83.80,,,,,
